City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Grindavik,IS,2022-07-06 16:58:37,63.8424,-22.4338,58.95,93,100,19.57
133,Thompson,CA,2022-07-06 16:58:37,55.7435,-97.8558,68.16,45,100,5.75
134,San Rafael,AR,2022-07-06 16:58:38,-34.6177,-68.3301,64.29,15,59,10.36
135,Kapuskasing,CA,2022-07-06 16:58:38,49.4169,-82.4331,60.89,55,40,3.44
136,Chuy,UY,2022-07-06 16:58:39,-33.6971,-53.4616,58.78,94,100,9.13
137,Kone,NC,2022-07-06 16:58:39,-21.0595,164.8658,73.13,83,100,6.04
138,Srednekolymsk,RU,2022-07-06 16:58:40,67.45,153.6833,48.13,89,100,11.83
139,Totness,SR,2022-07-06 16:58:40,5.8833,-56.3167,79.63,84,75,7.02
140,Hampstead,US,2022-07-06 16:59:41,42.8745,-71.1812,81.32,59,89,7.0
141,Salalah,OM,2022-07-06 16:59:41,17.0151,54.0924,78.67,95,100,4.21
142,San Quintin,MX,2022-07-06 16:59:41,30.4833,-115.95,71.2,70,60,13.94
143,Kysyl-Syr,RU,2022-07-06 16:59:42,63.8986,122.7617,56.34,72,98,4.14
144,Hermanus,ZA,2022-07-06 16:58:59,-34.4187,19.2345,52.81,73,16,6.96
145,Pundaguitan,PH,2022-07-06 16:59:42,6.3711,126.1689,82.31,77,82,3.71
146,Husavik,IS,2022-07-06 16:59:43,66.0449,-17.3389,54.32,62,3,8.05
147,Dingle,PH,2022-07-06 16:59:10,10.9995,122.6711,74.03,94,100,4.25
148,Ulaangom,MN,2022-07-06 16:59:43,49.9811,92.0667,59.65,58,92,3.11
149,Salinopolis,BR,2022-07-06 16:59:44,-0.6136,-47.3561,82.81,71,23,8.23
150,Qasigiannguit,GL,2022-07-06 16:59:44,68.8193,-51.1922,40.69,83,100,3.27
151,Diamantino,BR,2022-07-06 16:59:45,-14.4086,-56.4461,90.66,19,43,8.66
152,Promyshlennyy,RU,2022-07-06 16:59:45,67.5833,63.9167,60.57,75,94,3.91
153,Requena,ES,2022-07-06 16:59:45,39.4883,-1.1004,72.79,47,40,10.27
154,Margate,GB,2022-07-06 16:57:33,51.3813,1.3862,72.88,63,100,5.99
155,Katsuura,JP,2022-07-06 16:59:46,35.1333,140.3,72.27,90,98,18.45
156,Prince Albert,CA,2022-07-06 16:59:47,53.2001,-105.7677,60.75,82,100,4.61
157,Narok,KE,2022-07-06 16:59:48,-1.0783,35.8601,58.48,70,97,2.77
158,Brewster,US,2022-07-06 16:57:33,41.3973,-73.6171,85.19,63,63,1.01
159,Tautira,PF,2022-07-06 16:59:48,-17.7333,-149.15,78.01,75,21,11.18
160,Bousso,TD,2022-07-06 16:59:49,10.4795,16.7117,84.09,55,63,5.23
161,Port Hardy,CA,2022-07-06 16:59:49,50.6996,-127.4199,57.38,94,75,4.61
162,Nanortalik,GL,2022-07-06 16:59:50,60.1432,-45.2371,45.23,87,97,10.69
163,Lazaro Cardenas,MX,2022-07-06 16:59:50,17.9583,-102.2,82.85,68,86,2.89
164,Rabo De Peixe,PT,2022-07-06 16:59:51,37.8,-25.5833,67.51,68,40,6.91
