City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Lavrentiya,RU,65.5833,-171.0,52.25,79,89,10.0,overcast clouds
303,Tura,IN,25.5198,90.2201,83.64,69,4,4.18,clear sky
304,Kuala Lipis,MY,4.1842,102.0468,85.71,60,97,0.51,overcast clouds
305,Mariental,NA,-24.6333,17.9667,53.28,35,0,12.33,clear sky
306,Jatai,BR,-17.8814,-51.7144,67.26,50,5,5.39,clear sky
307,Przeworsk,PL,50.0591,22.4941,57.24,97,27,7.65,scattered clouds
308,Pringsewu,ID,-5.3582,104.9744,84.76,58,23,6.29,few clouds
309,Kalmunai,LK,7.4167,81.8167,84.04,65,100,4.18,overcast clouds
310,Plettenberg Bay,ZA,-34.0527,23.3716,72.23,27,0,18.7,clear sky
311,Abu Zabad,SD,12.35,29.25,75.99,79,100,8.48,light rain
312,Manjeshwar,IN,12.7194,74.8861,76.15,88,100,15.14,overcast clouds
313,San Patricio,US,28.017,-97.5169,85.89,73,5,13.94,clear sky
314,Bantry,IE,51.6833,-9.45,54.79,95,6,6.02,clear sky
315,Severo-Kurilsk,RU,50.6789,156.125,60.12,84,39,11.43,scattered clouds
316,Beringovskiy,RU,63.05,179.3167,56.35,71,100,13.69,overcast clouds
317,Rio Gallegos,AR,-51.6226,-69.2181,28.45,93,75,8.05,broken clouds
318,Man,CI,7.4125,-7.5538,70.88,99,100,3.51,light rain
319,Canico,PT,32.6333,-16.85,74.01,53,20,3.44,few clouds
320,Praia Da Vitoria,PT,38.7333,-27.0667,66.76,81,100,10.87,overcast clouds
321,Inirida,CO,3.8653,-67.9239,72.75,99,100,2.82,overcast clouds
322,Sidi Ali,DZ,36.0998,0.4206,71.82,65,0,6.6,clear sky
323,Qaqortoq,GL,60.7167,-46.0333,46.96,88,100,3.58,light rain
324,Podyuga,RU,61.095,40.8647,59.23,75,100,2.89,overcast clouds
325,Tazovskiy,RU,67.4667,78.7,65.32,74,92,16.44,overcast clouds
326,Sisimiut,GL,66.9395,-53.6735,48.18,71,25,10.42,scattered clouds
327,Carutapera,BR,-1.195,-46.02,74.41,92,13,5.73,few clouds
328,Kodinsk,RU,58.6881,99.1844,66.76,58,100,4.72,light rain
329,Gizo,SB,-8.103,156.8419,83.93,67,91,5.28,overcast clouds
